school_name,latitude,longitude
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH CAREER & SCIENCE - M,40.855855,-73.92712
HS FOR HEALTH PROF & HUMAN SERV-M,40.732447,-73.983031
HS FOR HEALTH PROF & HUMAN SERV-M,40.732447,-73.983031
HS FOR HEALTH PROF & HUMAN SERV-M,40.732447,-73.983031
HS FOR INNOVATION IN AD - BKLYN,40.641474,-73.898254
HS FOR VIOLIN AND DANCE - BRONX,40.827642,-73.904473
HS OF BUSINESS - BRONX,40.840422,-73.91091
HS OF COMPUTERS & TECHNOLOGY - X,40.876341,-73.863195
HYDE LEADERSHIP CHARTER SCHOOL - X,40.815455,-73.88577
INNOVATION DIPLOMA PLUS,40.785803,-73.974614
INTERNATIONAL HIGH SCHOOL - K,40.594291,-73.98577
I.S. 109 - QUEENS,40.720713,-73.747001
I.S. 109 - QUEENS,40.720713,-73.747001
I.S. 10 - QUEENS,40.759363,-73.912902
I.S. 113 - BROOKLYN,40.688811,-73.971009
I.S. 117 - BRONX,40.848547,-73.908416
I.S. 118 - BRONX,40.848339,-73.89308
I.S. 119 - QUEENS,40.704406,-73.875183
I.S. 119 - QUEENS,40.704406,-73.875183
I.S. 119 - QUEENS,40.704406,-73.875183
I.S. 123 - BRONX,40.825403,-73.873666
I.S. 125 - QUEENS,40.741131,-73.918945
I.S. 126 - QUEENS,40.766264,-73.930709
I.S. 127 - BRONX,40.837931,-73.853524
I.S. 129 - BRONX,40.845878,-73.886184
I.S. 131 - BRONX,40.82346,-73.859647
I.S. 131 - BRONX,40.82346,-73.859647
I.S. 131 - MANHATTAN,40.716553,-73.993092
I.S. 141 - QUEENS,40.775589,-73.90509
I.S. 141 - QUEENS,40.775589,-73.90509
I.S. 143 - MANHATTAN,40.848908,-73.930948
I.S. 145 - QUEENS,40.754661,-73.887112
I.S. 151 - BRONX,40.823033,-73.921238
I.S. 162 - BROOKLYN,40.707229,-73.919805
I.S. 162 - BROOKLYN,40.707229,-73.919805
I.S. 171 - BROOKLYN,40.68618,-73.869625
I.S. 171 - BROOKLYN,40.68618,-73.869625
I.S. 181 - BRONX,40.875293,-73.83389
I.S. 201 - BROOKLYN,40.618676,-74.012722
I.S. 202 - QUEENS,40.67124,-73.845141
I.S. 202 - QUEENS,40.67124,-73.845141
I.S. 204 - QUEENS,40.757065,-73.932664
I.S. 204 - QUEENS,40.757065,-73.932664
I.S. 211 - BROOKLYN,40.643278,-73.896212
I.S. 217 - QUEENS,40.71003,-73.812508
I.S. 219 - BRONX,40.833511,-73.90449
I.S. 221 - BRONX,40.813785,-73.92032
I.S. 221 - BRONX,40.813785,-73.92032
I.S. 224 - MANHATTAN,40.785671,-73.942548
I.S. 227 - QUEENS,40.758408,-73.874472
I.S. 227 - QUEENS,40.758408,-73.874472
I.S. 227 - QUEENS,40.758408,-73.874472
I.S. 227 - QUEENS,40.758408,-73.874472
I.S. 228 - BROOKLYN,40.6013,-73.976953
I.S. 228 - BROOKLYN,40.6013,-73.976953
I.S. 22 - BRONX,40.833131,-73.914027
I.S. 234 - BROOKLYN,40.60422,-73.955485
I.S. 238 - QUEENS,40.713094,-73.780468
I.S. 239 - BROOKLYN,40.578188,-73.99203
I.S. 239 - BROOKLYN,40.578188,-73.99203
I.S. 241 - BRONX,40.839244,-73.901316
I.S. 241 - BRONX,40.839244,-73.901316
I.S. 246 - BROOKLYN,40.648608,-73.952821
I.S. 24 - STATEN ISLAND,40.546081,-74.14584
I.S. 255 - MANHATTAN,40.735751,-73.981655
I.S. 259 - BROOKLYN,40.62668,-74.01512
I.S. 265 - BROOKLYN,40.696324,-73.97578
I.S. 267 - BROOKLYN,40.68832,-73.932275
I.S. 278 - BROOKLYN,40.60665,-73.939176
I.S. 281 - BROOKLYN,40.595341,-73.993457
I.S. 281 - BROOKLYN,40.595341,-73.993457
I.S. 291 - BROOKLYN,40.695362,-73.915142
I.S. 291 - BROOKLYN,40.695362,-73.915142
I.S. 2 - BROOKLYN,40.656183,-73.951583
I.S. 2 - BROOKLYN,40.656183,-73.951583
I.S. 2 - STATEN ISLAND,40.576725,-74.100726
I.S. 301 - BRONX,40.822474,-73.907194
I.S. 302 - BRONX,40.815429,-73.902139
I.S. 303 - BRONX,40.849532,-73.916077
I.S. 303 - BROOKLYN,40.5825,-73.973122
I.S. 319 - MANHATTAN,40.839305,-73.936159
I.S. 324 - MANHATTAN,40.839305,-73.936159
I.S. 340 - BROOKLYN,40.676094,-73.97038
I.S. 340 - BROOKLYN,40.676094,-73.97038
I.S. 340 - BROOKLYN,40.676094,-73.97038
I.S. 348 - MANHATTAN,40.848925,-73.931028
I.S. 349 - BROOKLYN,40.70069,-73.927481
I.S. 35 - BROOKLYN,40.681904,-73.935895
I.S. 362 - MANHATTAN,40.810431,-73.955809
I.S. 391 - BRONX,40.854515,-73.896703
I.S. 391 - BRONX,40.854515,-73.896703
I.S. 394 - BROOKLYN,40.672762,-73.927973
I.S. 394 - BROOKLYN,40.672762,-73.927973
I.S. @ 4002 FORT HAMILTON PARKWAY - BROOKLYN,40.642614,-73.991338
I.S. @ 4002 FORT HAMILTON PARKWAY - BROOKLYN,40.642614,-73.991338
I.S. 419 - QUEENS,40.7599,-73.859211
I.S. 424 - BRONX,40.815455,-73.88577
I.S. 424 - BRONX,40.815455,-73.88577
I.S. 443 - BROOKLYN,40.660976,-73.988297
I.S. 447 - BRONX,40.854872,-73.903458
I.S. 448 - BROOKLYN,40.68007,-74.001377
I.S. 452,40.64726,-73.881114
I.S. @ 47-10 BARNETT AVENUE - QUEENS,40.750017,-73.915867
I.S. 492- BROOKLYN,40.686076,-73.945229
I.S. 49 - STATEN ISLAND,40.620347,-74.081643
I.S. 527 - BROOKLYN,40.694682,-73.988853
